"Oakland, California",86
"University of California, Berkeley",47
"Richmond, California",19
"Orinda, California",17
Berkeley Hills,15
Downtown Oakland,15
"Emeryville, California",14
Lake Merritt,14
Lawrence Berkeley National Laboratory,11
Shattuck Avenue,10
Gourmet Ghetto,10
Graduate Theological Union,10
San Francisco–Oakland Bay Bridge,9
People's Park (Berkeley),8
Oakland Technical High School,8
McClymonds High School,8
University of California,8
Port of Oakland,8
College Women's Club,7
"Golden Gate, Oakland, California",7
Berkeley Marina,7
"Kensington, California",7
"Piedmont, California",7
Wildcat Canyon Regional Park,7
West Oakland station,7
Sather Tower,6
"Claremont, Oakland/Berkeley, California",6
University of California Botanical Garden,6
KKSF (AM),6
Point Isabel Regional Shoreline,6
"El Cerrito, California",6
Downtown Berkeley station,5
UC Berkeley College of Engineering,5
Sproul Plaza,5
Piedmont Avenue (Berkeley),5
"Panoramic Hill, Oakland/Berkeley, California",5
Julia Morgan Hall,5
McLaughlin Eastshore State Park,5
Marin Creek,5
Codornices Creek,5
Claremont Canyon Regional Preserve,5
"Mountain View Cemetery (Oakland, California)",5
Hoffman Marsh,5
"Piedmont Avenue (Oakland, California)",5
Oakland City Center,5
"Lower Bottoms, Oakland, California",5
Lake Merritt station,5
Laney College,5
Richmond Ferry Terminal,5
Head-Royce School,5
"North Berkeley, Berkeley, California",4
Berkeley Student Cooperative,4
Sather Gate,4
Hearst Greek Theatre,4
"Lorin District, Berkeley, California",4
Solano Avenue,4
"Albany, California",4
The College Preparatory School,4
Emery Secondary School,4
"North Oakland, Oakland, California",4
Temescal Creek (Northern California),4
MacArthur station (BART),4
Albany Bulb,4
"Cathedral of Christ the Light (Oakland, California)",4
Kaiser Center,4
19th Street Oakland station,4
Oakland School for the Arts,4
"Cypress Village, Oakland, California",4
Oakland City Hall,4
"Oakland Point, Oakland, California",4
"Lakeside Apartments District, Oakland, California",4
Kaiser Convention Center,4
MetWest High School,4
Jack London Square,4
Richmond Shipyards,4
Oakland California Temple,4
"Downtown Berkeley, Berkeley, California",3
Edwards Stadium,3
Haas Pavilion,3
Doe Memorial Library,3
Etcheverry Hall,3
Goldman School of Public Policy,3
Gilman Hall,3
Stern Hall (Berkeley),3
UC Berkeley School of Law,3
International House Berkeley,3
Tightwad Hill,3
"West Berkeley, Berkeley, California",3
Berkeley station (California),3
"1923 Berkeley, California fire",3
Tilden Regional Park,3
Children's Hospital Oakland,3
"Temescal, Oakland, California",3
Fleming Point,3
Unitarian Universalist Church of Berkeley,3
Caldecott Tunnel,3
Samuel Merritt University,3
KNEW (AM),3
Morcom Rose Garden,3
Cypress Street Viaduct,3
Oakland Army Base,3
Richmond Inner Harbor,3
"Paramount Theatre (Oakland, California)",3
Fox Oakland Theatre,3
San Pablo Ridge,3
El Cerrito del Norte station,3
Lincoln University (California),3
Oakland East Bay Symphony,3
12th Street Oakland City Center station,3
"John F. Kennedy High School (Richmond, California)",3
Orinda station,3
"Marina Bay, Richmond, California",3
Middle Harbor Shoreline Park,3
"Piedmont Pines, Oakland, California",3
Ford Motor Company Assembly Plant,3
SS Red Oak Victory,3
Joaquin Miller Park,3
Berkeley City College,2
Berkeley High School (California),2
UC Berkeley School of Public Health,2
UC Berkeley College of Natural Resources,2
Berkeley City Club,2
Pacific School of Religion,2
Zellerbach Hall,2
Institute of Transportation Studies,2
"Northside, Berkeley, California",2
UC Berkeley Graduate School of Journalism,2
South Hall (UC Berkeley),2
"Southside, Berkeley, California",2
Campbell Hall (UC Berkeley),2
LeConte Hall,2
Hearst Memorial Mining Building,2
Berkeley Art Museum and Pacific Film Archive,2
UC Berkeley College of Environmental Design,2
UC Berkeley School of Optometry,2
"Senior Hall (Berkeley, California)",2
Haas School of Business,2
Maybeck High School,2
Lawrence Hall of Science,2
KALX,2
Molecular Foundry,2
"Cragmont, Berkeley, California",2
"Schoolhouse Creek (Alameda County, California)",2
KEAR (AM),2
Albany High School (California),2
Rockridge station,2
Grizzly Peak (Berkeley Hills),2
Bay Street Emeryville,2
Cerrito Creek,2
"Longfellow, Oakland, California",2
Oakland firestorm of 1991,2
"Ghost Town, Oakland, California",2
Piedmont High School (California),2
Baxter Creek,2
"Cathedral of Saint Francis de Sales (Oakland, California)",2
"Stege, California",2
Children's Fairyland,2
"Montclair, Oakland, California",2
First Unitarian Church of Oakland,2
Kaiser Engineering Building,2
"Trestle Glen, Oakland, California",2
Tribune Tower (Oakland),2
"Crocker Highlands, Oakland, California",2
"Civic Center, Oakland, California",2
"Chinatown, Oakland",2
René C. Davidson Courthouse,2
Oakland Long Wharf,2
"San Antonio, Oakland, California",2
Oakland – Jack London Square station,2
"Oakmore, Oakland, California",2
Eastern span replacement of the San Francisco–Oakland Bay Bridge,2
"Dimond District, Oakland, California",2
Oakland Estuary,2
Posey and Webster Street tubes,2
Kaiser Richmond Field Hospital,2
Island High School,2
Institute of Buddhist Studies,1
Helen Wills Neuroscience Institute,1
Chez Panisse,1
"University House, Berkeley",1
UC Berkeley School of Social Welfare,1
Dwinelle Hall,1
California Hall,1
Starr King School for the Ministry,1
Church Divinity School of the Pacific,1
"First Unitarian Church (Berkeley, California)",1
Wheeler Hall,1
Bancroft Library,1
Edible Schoolyard,1
"University of California, Berkeley School of Information",1
Dominican School of Philosophy and Theology,1
Jacobs Institute for Design Innovation,1
Jesuit School of Theology of Santa Clara University,1
Cloyne Court Hotel,1
Hillside Elementary School,1
Saint Mary's College High School,1
"Westbrae, Berkeley, California",1
La Loma Park,1
Bowles Hall,1
California Memorial Stadium,1
"The Big ""C""",1
California School for the Blind,1
Mathematical Sciences Research Institute,1
"Thousand Oaks, Berkeley, California",1
UC Village,1
"Bushrod Park, Oakland, California",1
Claremont Hotel & Spa,1
KVTO,1
MacGregor High School,1
Sala House,1
Golden Gate Fields,1
Albany Hill,1
Emeryville station,1
César Chávez Park,1
El Cerrito Plaza station,1
KECG,1
Pacific East Mall,1
Pixar,1
Lake Temescal,1
Emeryville Shellmound,1
KPFA,1
Trader Vic's,1
"Chapel of the Chimes (Oakland, California)",1
"Holy Names High School (Oakland, California)",1
Emeryville Crescent State Marine Reserve,1
"Dogtown, Oakland, California",1
Mosswood Park,1
KIQI,1
KSFN,1
Piedmont Middle School,1
KMKY (AM),1
"West Oakland, Oakland, California",1
Grand Lake Theatre,1
"Grand Lake, Oakland, California",1
African American Museum and Library at Oakland,1
Pardee Home,1
"Alden, California",1
555 City Center,1
Ask.com,1
Clorox Building,1
Brooks Island Regional Preserve,1
Amethod Public Schools,1
Oakland Charter High School,1
"Acorn, Oakland, California",1
Old Oakland,1
Orinda Academy,1
"Oakland High School (Oakland, California)",1
Macdonald 80 Shopping Center,1
Yoshi's (jazz club),1
Rosie the Riveter/World War II Home Front National Historical Park,1
Peralta Community College District,1
"Highland Hospital (Oakland, California)",1
Alameda Health System,1
Point Potrero,1
"Brooklyn, California",1
Alameda Mole,1
Berkeley Police Department,0
International Computer Science Institute,0
UC Theatre,0
Berkeley Repertory Theatre,0
California Jazz Conservatory,0
