"Oakland, California",425
"University of California, Berkeley",222
"Emeryville, California",88
"Orinda, California",77
Downtown Oakland,76
Lawrence Berkeley National Laboratory,74
"Richmond, California",71
Lake Merritt,68
Berkeley Hills,60
People's Park (Berkeley),59
"Golden Gate, Oakland, California",51
Berkeley Marina,40
Shattuck Avenue,38
San Francisco–Oakland Bay Bridge,36
Port of Oakland,33
"Mountain View Cemetery (Oakland, California)",32
University of California,30
Graduate Theological Union,29
Oakland City Center,29
"Piedmont, California",28
Berkeley High School (California),27
"Albany, California",27
Temescal Creek (Northern California),27
Caldecott Tunnel,27
"Paramount Theatre (Oakland, California)",27
"West Berkeley, Berkeley, California",26
Tilden Regional Park,26
Jack London Square,26
Joaquin Miller Park,26
Piedmont Avenue (Berkeley),25
Richmond Shipyards,25
Haas Pavilion,23
"Panoramic Hill, Oakland/Berkeley, California",23
MacArthur station (BART),23
Point Isabel Regional Shoreline,23
"Chinatown, Oakland",23
Laney College,23
Chez Panisse,22
Oakland Technical High School,22
"San Antonio, Oakland, California",22
"Claremont, Oakland/Berkeley, California",20
"Kensington, California",20
Oakland firestorm of 1991,20
Piedmont High School (California),20
Middle Harbor Shoreline Park,20
Berkeley City College,19
Gourmet Ghetto,19
Bancroft Library,19
UC Berkeley College of Engineering,19
Oakland City Hall,19
California Memorial Stadium,18
The College Preparatory School,18
Hearst Greek Theatre,17
Albany Bulb,17
"Oakland Point, Oakland, California",17
Huckleberry Botanic Regional Preserve,17
Head-Royce School,17
"Campus of the University of California, Berkeley",16
"Northside, Berkeley, California",16
Goldman School of Public Policy,16
La Loma Park,16
Bowles Hall,16
"Bushrod Park, Oakland, California",16
Codornices Creek,16
"Piedmont Avenue (Oakland, California)",16
"El Cerrito, California",16
Uptown Oakland,16
Wildcat Canyon Regional Park,16
Brooks Island Regional Preserve,16
"Downtown Berkeley, Berkeley, California",15
Starr King School for the Ministry,15
South Hall (UC Berkeley),15
"Southside, Berkeley, California",15
College Women's Club,15
Solano Avenue,15
Rockridge station,15
Marin Creek,15
"Rockridge, Oakland, California",15
"Stege, California",15
19th Street Oakland station,15
12th Street Oakland City Center station,15
"Lower Bottoms, Oakland, California",15
Oakland – Jack London Square station,15
Helen Wills Neuroscience Institute,14
Evans Diamond,14
Stern Hall (Berkeley),14
KALX,14
"Temescal, Oakland, California",14
"North Oakland, Oakland, California",14
McClymonds High School,14
"Trestle Glen, Oakland, California",14
Old Oakland,14
"Oakland High School (Oakland, California)",14
Kaiser Convention Center,14
"Glenview, Oakland, California",14
Oakland Estuary,14
"North Berkeley, Berkeley, California",13
UC Berkeley Graduate School of Education,13
Berkeley City Club,13
California Hall,13
Dominican School of Philosophy and Theology,13
American Baptist Seminary of the West,13
Tightwad Hill,13
Ashby station (BART),13
Maybeck High School,13
Claremont Canyon Regional Preserve,13
KNEW (AM),13
Cypress Street Viaduct,13
Robert Sibley Volcanic Regional Preserve,13
"Adams Point, Oakland, California",13
"West Oakland, Oakland, California",13
Fox Oakland Theatre,13
"Grand Lake, Oakland, California",13
"John F. Kennedy High School (Richmond, California)",13
Rosie the Riveter/World War II Home Front National Historical Park,13
Eastern span replacement of the San Francisco–Oakland Bay Bridge,13
Oakland California Temple,13
Pacific School of Religion,12
Evans Hall (UC Berkeley),12
UC Berkeley College of Environmental Design,12
Haas School of Business,12
International House Berkeley,12
Berkeley station (California),12
Children's Hospital Oakland,12
Pixar,12
Cerrito Creek,12
KPFA,12
Oakland Army Base,12
Kaiser Center,12
"Montclair, Oakland, California",12
West Oakland station,12
Oakland Long Wharf,12
Downtown Berkeley station,11
Edwards Stadium,11
Sather Gate,11
Wheeler Hall,11
Gilman Hall,11
"Westbrae, Berkeley, California",11
Albany High School (California),11
Lake Temescal,11
Hoffman Marsh,11
"Ghost Town, Oakland, California",11
KMKY (AM),11
Ordway Building,11
The Crucible (arts education center),11
"Crocker Highlands, Oakland, California",11
Lake Merritt station,11
"University House, Berkeley",10
Etcheverry Hall,10
Saint Mary's College High School,10
Molecular Foundry,10
César Chávez Park,10
KECG,10
Richmond Inner Harbor,10
Oakland School for the Arts,10
Leimert Bridge,10
SS Red Oak Victory,10
Posey and Webster Street tubes,10
Island High School,10
Berkeley Student Cooperative,9
LeConte Hall,9
"Thousand Oaks, Berkeley, California",9
KVTO,9
MacGregor High School,9
Golden Gate Fields,9
Fleming Point,9
KKSF (AM),9
Emeryville Crescent State Marine Reserve,9
"Cypress Village, Oakland, California",9
Oakland East Bay Symphony,9
Oakland Public Library,9
Macdonald 80 Shopping Center,9
Ford Motor Company Assembly Plant,9
UC Berkeley School of Public Health,8
Jesuit School of Theology of Santa Clara University,8
UC Berkeley College of Chemistry,8
Hearst Memorial Mining Building,8
UC Berkeley School of Optometry,8
"Senior Hall (Berkeley, California)",8
UC Berkeley School of Law,8
Lawrence Hall of Science,8
"Cragmont, Berkeley, California",8
McLaughlin Eastshore State Park,8
KEAR (AM),8
Albany Hill,8
Pacific East Mall,8
MacArthur Maze,8
"Dogtown, Oakland, California",8
Samuel Merritt University,8
KSFN,8
Stege Marsh,8
First Unitarian Church of Oakland,8
"Oakland Hills, Oakland, California",8
Lincoln University (California),8
"Lakeside Apartments District, Oakland, California",8
"Acorn, Oakland, California",8
San Pablo Reservoir,8
"Jack London District, Oakland, California",8
MetWest High School,8
"Oakmore, Oakland, California",8
Institute of Buddhist Studies,7
North Berkeley station,7
Moffitt Library,7
UC Berkeley Graduate School of Journalism,7
Sather Tower,7
Jacobs Institute for Design Innovation,7
Hillside Elementary School,7
Levine-Fricke Field,7
University of California Botanical Garden,7
Emeryville station,7
Emery Secondary School,7
Bay Street Emeryville,7
"Longfellow, Oakland, California",7
Mosswood Park,7
KIQI,7
"Cathedral of Christ the Light (Oakland, California)",7
Children's Fairyland,7
El Cerrito del Norte station,7
Pardee Home,7
555 City Center,7
"Piedmont Pines, Oakland, California",7
"Brooklyn, California",7
UC Berkeley College of Natural Resources,6
Dwinelle Hall,6
Zellerbach Hall,6
Doe Memorial Library,6
Cloyne Court Hotel,6
"Lorin District, Berkeley, California",6
"1923 Berkeley, California fire",6
Julia Morgan Hall,6
Rockridge Market Hall,6
Bentley School,6
Unitarian Universalist Church of Berkeley,6
Oakland Medical Center,6
Preservation Park,6
Roman Catholic Diocese of Oakland,6
"Civic Center, Oakland, California",6
Orinda Academy,6
USS Potomac (AG-25),6
"East Richmond Heights, California",6
"Dimond District, Oakland, California",6
Kaiser Richmond Field Hospital,6
Berkeley station (Southern Pacific Railroad),5
UC Berkeley School of Social Welfare,5
Institute of Transportation Studies,5
